Time [s],T_g [K],T_l [K],T_i [K],p_g [Pa],ml [kg],mv [kg],ma [kg]
4.932722929183456273e+01,1.165638450103903807e+02,7.737262641637867944e+01,7.845782209354577219e+01,2.820859563940413645e+05,2.950035970309648481e-01,8.504739773799170448e-04,6.109185312721706598e-05
4.938958988512386128e+01,1.165561565151088672e+02,7.737264904155402689e+01,7.845738195147279725e+01,2.820660440259487368e+05,2.950036029184820441e-01,8.504680898627020808e-04,6.109185312721706598e-05
4.945195047841315983e+01,1.165484699872744443e+02,7.737267165708495043e+01,7.845694229279303045e+01,2.820461366508084466e+05,2.950036088057030326e-01,8.504622026416920177e-04,6.109185312721706598e-05
4.951431107170245838e+01,1.165407854253577398e+02,7.737269426298188080e+01,7.845650311598741666e+01,2.820262342647611513e+05,2.950036146926282021e-01,8.504563157165097699e-04,6.109185312721706598e-05
4.957667166499175693e+01,1.165331028275129484e+02,7.737271685925732356e+01,7.845606442014063475e+01,2.820063368631476187e+05,2.950036205792579969e-01,8.504504290867005148e-04,6.109185312721706598e-05
4.963903225828105548e+01,1.165254221923142239e+02,7.737273944592101316e+01,7.845562620302169421e+01,2.819864444423698587e+05,2.950036264655928053e-01,8.504445427519129706e-04,6.109185312721706598e-05
4.970139285157035403e+01,1.165177435180266770e+02,7.737276202298470196e+01,7.845518846448847228e+01,2.819665569980484433e+05,2.950036323516330161e-01,8.504386567117186609e-04,6.109185312721706598e-05
4.976375344485965257e+01,1.165100668035861986e+02,7.737278459045563750e+01,7.845475120261188806e+01,2.819466745274995919e+05,2.950036382373789068e-01,8.504327709658554254e-04,6.109185312721706598e-05
4.982611403814895112e+01,1.165023920474928190e+02,7.737280714834398054e+01,7.845431441680062790e+01,2.819267970269377693e+05,2.950036441228308104e-01,8.504268855139518165e-04,6.109185312721706598e-05
4.988847463143824257e+01,1.164947192480359774e+02,7.737282969666136978e+01,7.845387810437649989e+01,2.819069244920442579e+05,2.950036500079891710e-01,8.504210003555845616e-04,6.109185312721706598e-05
4.995083522472754112e+01,1.164870484030852111e+02,7.737285223542230028e+01,7.845344226554358613e+01,2.818870569174372940e+05,2.950036558928545438e-01,8.504151154902222934e-04,6.109185312721706598e-05
5.001319581801683967e+01,1.164793795123080002e+02,7.737287476462900315e+01,7.845300689834807883e+01,2.818671943022837513e+05,2.950036617774269843e-01,8.504092309177865155e-04,6.109185312721706598e-05
5.007555641130613822e+01,1.164717125738438739e+02,7.737289728429412605e+01,7.845257200178635060e+01,2.818473366418850492e+05,2.950036676617069364e-01,8.504033466378139484e-04,6.109185312721706598e-05
