Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
165.00	0.10000	2.3453	0.42639	106.45	149.09	5.8689	0.65171	0.91730	244.31	7.6942	1.2359e-05	0.015340	0
166.00	0.10000	2.3309	0.42902	107.11	150.01	5.8744	0.65168	0.91717	245.06	7.6135	1.2427e-05	0.015429	0
167.00	0.10000	2.3167	0.43164	107.76	150.93	5.8799	0.65165	0.91705	245.81	7.5341	1.2494e-05	0.015518	0
168.00	0.10000	2.3027	0.43427	108.42	151.84	5.8854	0.65162	0.91693	246.56	7.4561	1.2561e-05	0.015607	0
169.00	0.10000	2.2889	0.43689	109.07	152.76	5.8909	0.65159	0.91682	247.31	7.3794	1.2628e-05	0.015696	0
170.00	0.10000	2.2752	0.43952	109.73	153.68	5.8963	0.65156	0.91671	248.05	7.3040	1.2695e-05	0.015785	0
171.00	0.10000	2.2617	0.44214	110.38	154.59	5.9016	0.65153	0.91660	248.79	7.2299	1.2761e-05	0.015874	0
172.00	0.10000	2.2484	0.44477	111.03	155.51	5.9070	0.65150	0.91649	249.53	7.1569	1.2828e-05	0.015962	0
173.00	0.10000	2.2352	0.44739	111.69	156.43	5.9123	0.65148	0.91639	250.27	7.0852	1.2894e-05	0.016051	0
174.00	0.10000	2.2222	0.45001	112.34	157.34	5.9176	0.65146	0.91629	251.00	7.0146	1.2961e-05	0.016139	0
175.00	0.10000	2.2093	0.45264	113.00	158.26	5.9228	0.65143	0.91619	251.73	6.9452	1.3027e-05	0.016227	0
176.00	0.10000	2.1965	0.45526	113.65	159.18	5.9280	0.65141	0.91610	252.46	6.8769	1.3093e-05	0.016316	0
177.00	0.10000	2.1840	0.45788	114.30	160.09	5.9332	0.65139	0.91601	253.19	6.8097	1.3159e-05	0.016404	0
178.00	0.10000	2.1715	0.46050	114.96	161.01	5.9384	0.65138	0.91592	253.91	6.7436	1.3225e-05	0.016492	0
179.00	0.10000	2.1592	0.46313	115.61	161.92	5.9435	0.65136	0.91584	254.64	6.6785	1.3291e-05	0.016580	0
180.00	0.10000	2.1471	0.46575	116.26	162.84	5.9486	0.65134	0.91575	255.36	6.6144	1.3357e-05	0.016667	0
181.00	0.10000	2.1351	0.46837	116.92	163.76	5.9537	0.65133	0.91567	256.08	6.5513	1.3422e-05	0.016755	0
182.00	0.10000	2.1232	0.47099	117.57	164.67	5.9587	0.65131	0.91560	256.79	6.4891	1.3488e-05	0.016843	0
183.00	0.10000	2.1114	0.47361	118.23	165.59	5.9638	0.65130	0.91552	257.51	6.4279	1.3553e-05	0.016930	0
184.00	0.10000	2.0998	0.47623	118.88	166.50	5.9688	0.65129	0.91545	258.22	6.3677	1.3619e-05	0.017017	0
185.00	0.10000	2.0883	0.47885	119.53	167.42	5.9737	0.65128	0.91538	258.93	6.3083	1.3684e-05	0.017105	0
186.00	0.10000	2.0770	0.48147	120.19	168.33	5.9786	0.65127	0.91531	259.64	6.2498	1.3749e-05	0.017192	0
187.00	0.10000	2.0657	0.48409	120.84	169.25	5.9836	0.65126	0.91524	260.34	6.1922	1.3814e-05	0.017279	0
188.00	0.10000	2.0546	0.48671	121.49	170.16	5.9884	0.65125	0.91518	261.05	6.1354	1.3879e-05	0.017366	0
189.00	0.10000	2.0436	0.48933	122.15	171.08	5.9933	0.65125	0.91512	261.75	6.0795	1.3944e-05	0.017453	0
190.00	0.10000	2.0328	0.49194	122.80	171.99	5.9981	0.65124	0.91506	262.45	6.0244	1.4008e-05	0.017540	0
191.00	0.10000	2.0220	0.49456	123.45	172.91	6.0029	0.65124	0.91500	263.15	5.9700	1.4073e-05	0.017626	0
192.00	0.10000	2.0113	0.49718	124.11	173.82	6.0077	0.65123	0.91495	263.84	5.9165	1.4137e-05	0.017713	0
193.00	0.10000	2.0008	0.49980	124.76	174.74	6.0125	0.65123	0.91490	264.54	5.8637	1.4202e-05	0.017799	0
194.00	0.10000	1.9904	0.50241	125.41	175.65	6.0172	0.65123	0.91485	265.23	5.8116	1.4266e-05	0.017886	0
195.00	0.10000	1.9801	0.50503	126.07	176.57	6.0219	0.65123	0.91480	265.92	5.7603	1.4330e-05	0.017972	0
196.00	0.10000	1.9699	0.50765	126.72	177.48	6.0266	0.65123	0.91475	266.61	5.7096	1.4394e-05	0.018058	0
197.00	0.10000	1.9598	0.51026	127.37	178.40	6.0312	0.65124	0.91471	267.29	5.6597	1.4458e-05	0.018144	0
198.00	0.10000	1.9498	0.51288	128.02	179.31	6.0359	0.65124	0.91466	267.98	5.6104	1.4522e-05	0.018231	0
199.00	0.10000	1.9399	0.51550	128.68	180.23	6.0405	0.65124	0.91462	268.66	5.5619	1.4586e-05	0.018316	0
200.00	0.10000	1.9301	0.51811	129.33	181.14	6.0450	0.65125	0.91458	269.34	5.5139	1.4649e-05	0.018402	0
201.00	0.10000	1.9204	0.52073	129.98	182.06	6.0496	0.65126	0.91455	270.02	5.4666	1.4713e-05	0.018488	0
202.00	0.10000	1.9108	0.52334	130.64	182.97	6.0541	0.65127	0.91451	270.69	5.4200	1.4776e-05	0.018574	0
203.00	0.10000	1.9013	0.52596	131.29	183.89	6.0587	0.65128	0.91448	271.37	5.3739	1.4840e-05	0.018659	0
204.00	0.10000	1.8919	0.52857	131.94	184.80	6.0632	0.65129	0.91445	272.04	5.3285	1.4903e-05	0.018745	0
205.00	0.10000	1.8826	0.53119	132.60	185.71	6.0676	0.65130	0.91442	272.71	5.2836	1.4966e-05	0.018830	0
206.00	0.10000	1.8733	0.53380	133.25	186.63	6.0721	0.65131	0.91439	273.38	5.2394	1.5029e-05	0.018916	0
207.00	0.10000	1.8642	0.53642	133.90	187.54	6.0765	0.65132	0.91437	274.05	5.1957	1.5092e-05	0.019001	0
208.00	0.10000	1.8552	0.53903	134.55	188.46	6.0809	0.65134	0.91435	274.72	5.1525	1.5155e-05	0.019086	0
209.00	0.10000	1.8462	0.54165	135.21	189.37	6.0853	0.65136	0.91433	275.38	5.1099	1.5218e-05	0.019171	0
210.00	0.10000	1.8374	0.54426	135.86	190.29	6.0897	0.65137	0.91431	276.05	5.0678	1.5281e-05	0.019256	0
211.00	0.10000	1.8286	0.54687	136.51	191.20	6.0940	0.65139	0.91429	276.71	5.0263	1.5343e-05	0.019341	0
212.00	0.10000	1.8199	0.54949	137.17	192.11	6.0983	0.65141	0.91427	277.37	4.9853	1.5406e-05	0.019426	0
213.00	0.10000	1.8113	0.55210	137.82	193.03	6.1026	0.65143	0.91426	278.02	4.9447	1.5468e-05	0.019510	0
214.00	0.10000	1.8027	0.55471	138.47	193.94	6.1069	0.65146	0.91425	278.68	4.9047	1.5530e-05	0.019595	0
215.00	0.10000	1.7943	0.55733	139.12	194.86	6.1112	0.65148	0.91424	279.33	4.8652	1.5593e-05	0.019680	0
216.00	0.10000	1.7859	0.55994	139.78	195.77	6.1154	0.65150	0.91423	279.99	4.8261	1.5655e-05	0.019764	0
217.00	0.10000	1.7776	0.56255	140.43	196.69	6.1196	0.65153	0.91422	280.64	4.7875	1.5717e-05	0.019849	0
218.00	0.10000	1.7694	0.56517	141.08	197.60	6.1238	0.65156	0.91421	281.29	4.7494	1.5779e-05	0.019933	0
219.00	0.10000	1.7613	0.56778	141.74	198.51	6.1280	0.65158	0.91421	281.93	4.7117	1.5840e-05	0.020017	0
220.00	0.10000	1.7532	0.57039	142.39	199.43	6.1322	0.65161	0.91421	282.58	4.6744	1.5902e-05	0.020101	0
221.00	0.10000	1.7452	0.57300	143.04	200.34	6.1363	0.65165	0.91421	283.22	4.6376	1.5964e-05	0.020185	0
222.00	0.10000	1.7373	0.57561	143.70	201.26	6.1405	0.65168	0.91421	283.87	4.6013	1.6025e-05	0.020269	0
223.00	0.10000	1.7294	0.57823	144.35	202.17	6.1446	0.65171	0.91422	284.51	4.5653	1.6087e-05	0.020353	0
224.00	0.10000	1.7217	0.58084	145.00	203.09	6.1487	0.65175	0.91422	285.15	4.5297	1.6148e-05	0.020437	0
225.00	0.10000	1.7139	0.58345	145.65	204.00	6.1527	0.65178	0.91423	285.79	4.4946	1.6209e-05	0.020521	0
226.00	0.10000	1.7063	0.58606	146.31	204.91	6.1568	0.65182	0.91424	286.42	4.4599	1.6270e-05	0.020605	0
227.00	0.10000	1.6987	0.58867	146.96	205.83	6.1608	0.65186	0.91425	287.06	4.4255	1.6331e-05	0.020688	0
