Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
267.00	0.10000	1.2626	0.79205	197.63	276.83	6.7243	0.74285	1.0415	333.14	2.7090	1.6341e-05	0.023603	0
268.00	0.10000	1.2578	0.79502	198.37	277.87	6.7282	0.74285	1.0414	333.77	2.6885	1.6389e-05	0.023673	0
269.00	0.10000	1.2531	0.79800	199.11	278.91	6.7321	0.74286	1.0414	334.39	2.6683	1.6437e-05	0.023742	0
270.00	0.10000	1.2485	0.80098	199.86	279.96	6.7359	0.74286	1.0414	335.01	2.6482	1.6486e-05	0.023812	0
271.00	0.10000	1.2439	0.80395	200.60	281.00	6.7398	0.74287	1.0414	335.64	2.6283	1.6534e-05	0.023882	0
272.00	0.10000	1.2393	0.80693	201.35	282.04	6.7436	0.74287	1.0414	336.26	2.6086	1.6582e-05	0.023951	0
273.00	0.10000	1.2347	0.80991	202.09	283.08	6.7474	0.74288	1.0414	336.87	2.5890	1.6629e-05	0.024020	0
274.00	0.10000	1.2302	0.81288	202.83	284.12	6.7512	0.74289	1.0414	337.49	2.5697	1.6677e-05	0.024090	0
275.00	0.10000	1.2257	0.81586	203.58	285.16	6.7550	0.74289	1.0414	338.11	2.5505	1.6725e-05	0.024159	0
276.00	0.10000	1.2212	0.81884	204.32	286.20	6.7588	0.74290	1.0414	338.72	2.5314	1.6773e-05	0.024228	0
277.00	0.10000	1.2168	0.82181	205.06	287.25	6.7626	0.74291	1.0414	339.34	2.5126	1.6820e-05	0.024297	0
278.00	0.10000	1.2124	0.82479	205.81	288.29	6.7663	0.74291	1.0414	339.95	2.4939	1.6868e-05	0.024366	0
279.00	0.10000	1.2081	0.82777	206.55	289.33	6.7701	0.74292	1.0414	340.56	2.4753	1.6915e-05	0.024435	0
