Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
160.00	0.10000	3.0202	0.33110	49.566	82.676	3.5500	0.31353	0.52641	235.10	10.817	1.2987e-05	0.010148	0
161.00	0.10000	3.0012	0.33320	49.882	83.202	3.5533	0.31350	0.52630	235.84	10.703	1.3063e-05	0.010208	0
162.00	0.10000	2.9823	0.33531	50.198	83.729	3.5565	0.31347	0.52620	236.59	10.591	1.3139e-05	0.010267	0
163.00	0.10000	2.9637	0.33741	50.513	84.255	3.5598	0.31344	0.52610	237.33	10.480	1.3215e-05	0.010327	0
164.00	0.10000	2.9454	0.33952	50.829	84.781	3.5630	0.31342	0.52600	238.07	10.372	1.3291e-05	0.010386	0
165.00	0.10000	2.9272	0.34162	51.145	85.307	3.5662	0.31339	0.52591	238.80	10.266	1.3367e-05	0.010446	0
166.00	0.10000	2.9093	0.34372	51.460	85.833	3.5694	0.31337	0.52581	239.54	10.161	1.3443e-05	0.010505	0
167.00	0.10000	2.8916	0.34583	51.776	86.358	3.5725	0.31334	0.52572	240.27	10.058	1.3518e-05	0.010564	0
168.00	0.10000	2.8742	0.34793	52.091	86.884	3.5756	0.31332	0.52563	241.00	9.9567	1.3594e-05	0.010623	0
169.00	0.10000	2.8569	0.35003	52.407	87.410	3.5788	0.31330	0.52555	241.72	9.8571	1.3669e-05	0.010682	0
170.00	0.10000	2.8398	0.35213	52.722	87.935	3.5819	0.31327	0.52546	242.45	9.7590	1.3745e-05	0.010741	0
171.00	0.10000	2.8230	0.35423	53.037	88.461	3.5849	0.31325	0.52538	243.17	9.6625	1.3820e-05	0.010800	0
172.00	0.10000	2.8064	0.35633	53.352	88.986	3.5880	0.31323	0.52530	243.89	9.5676	1.3895e-05	0.010858	0
173.00	0.10000	2.7899	0.35843	53.668	89.511	3.5911	0.31321	0.52522	244.61	9.4741	1.3970e-05	0.010917	0
174.00	0.10000	2.7737	0.36054	53.983	90.036	3.5941	0.31319	0.52514	245.32	9.3821	1.4044e-05	0.010975	0
175.00	0.10000	2.7576	0.36264	54.298	90.561	3.5971	0.31317	0.52507	246.03	9.2915	1.4119e-05	0.011034	0
176.00	0.10000	2.7417	0.36474	54.613	91.086	3.6001	0.31315	0.52500	246.74	9.2023	1.4194e-05	0.011092	0
177.00	0.10000	2.7260	0.36684	54.928	91.611	3.6031	0.31313	0.52492	247.45	9.1145	1.4268e-05	0.011150	0
178.00	0.10000	2.7105	0.36893	55.243	92.136	3.6060	0.31312	0.52485	248.16	9.0280	1.4343e-05	0.011209	0
179.00	0.10000	2.6952	0.37103	55.558	92.661	3.6090	0.31310	0.52479	248.87	8.9428	1.4417e-05	0.011267	0
180.00	0.10000	2.6800	0.37313	55.873	93.186	3.6119	0.31308	0.52472	249.57	8.8588	1.4491e-05	0.011325	0
181.00	0.10000	2.6650	0.37523	56.187	93.711	3.6148	0.31307	0.52465	250.27	8.7761	1.4565e-05	0.011382	0
182.00	0.10000	2.6502	0.37733	56.502	94.235	3.6177	0.31305	0.52459	250.97	8.6947	1.4639e-05	0.011440	0
183.00	0.10000	2.6355	0.37943	56.817	94.760	3.6206	0.31303	0.52453	251.66	8.6144	1.4713e-05	0.011498	0
184.00	0.10000	2.6211	0.38153	57.132	95.284	3.6234	0.31302	0.52447	252.36	8.5353	1.4786e-05	0.011556	0
185.00	0.10000	2.6067	0.38362	57.446	95.809	3.6263	0.31300	0.52441	253.05	8.4573	1.4860e-05	0.011613	0
186.00	0.10000	2.5925	0.38572	57.761	96.333	3.6291	0.31299	0.52435	253.74	8.3805	1.4933e-05	0.011670	0
187.00	0.10000	2.5785	0.38782	58.076	96.857	3.6319	0.31298	0.52429	254.43	8.3047	1.5007e-05	0.011728	0
188.00	0.10000	2.5647	0.38992	58.390	97.382	3.6347	0.31296	0.52423	255.11	8.2300	1.5080e-05	0.011785	0
189.00	0.10000	2.5509	0.39201	58.705	97.906	3.6375	0.31295	0.52418	255.80	8.1564	1.5153e-05	0.011842	0
190.00	0.10000	2.5374	0.39411	59.019	98.430	3.6402	0.31294	0.52412	256.48	8.0838	1.5226e-05	0.011899	0
191.00	0.10000	2.5239	0.39621	59.334	98.954	3.6430	0.31292	0.52407	257.16	8.0122	1.5299e-05	0.011956	0
192.00	0.10000	2.5107	0.39830	59.648	99.478	3.6457	0.31291	0.52402	257.84	7.9416	1.5372e-05	0.012013	0
193.00	0.10000	2.4975	0.40040	59.962	100.00	3.6484	0.31290	0.52397	258.52	7.8719	1.5445e-05	0.012070	0
194.00	0.10000	2.4845	0.40249	60.277	100.53	3.6511	0.31289	0.52392	259.19	7.8032	1.5518e-05	0.012127	0
195.00	0.10000	2.4716	0.40459	60.591	101.05	3.6538	0.31287	0.52387	259.87	7.7355	1.5590e-05	0.012183	0
196.00	0.10000	2.4589	0.40668	60.905	101.57	3.6565	0.31286	0.52382	260.54	7.6686	1.5662e-05	0.012240	0
197.00	0.10000	2.4463	0.40878	61.220	102.10	3.6592	0.31285	0.52378	261.21	7.6026	1.5735e-05	0.012297	0
198.00	0.10000	2.4338	0.41088	61.534	102.62	3.6618	0.31284	0.52373	261.88	7.5375	1.5807e-05	0.012353	0
199.00	0.10000	2.4215	0.41297	61.848	103.15	3.6645	0.31283	0.52369	262.54	7.4733	1.5879e-05	0.012409	0
200.00	0.10000	2.4093	0.41506	62.162	103.67	3.6671	0.31282	0.52364	263.21	7.4099	1.5951e-05	0.012465	0
201.00	0.10000	2.3972	0.41716	62.476	104.19	3.6697	0.31281	0.52360	263.87	7.3473	1.6023e-05	0.012522	0
202.00	0.10000	2.3852	0.41925	62.790	104.72	3.6723	0.31280	0.52356	264.53	7.2855	1.6095e-05	0.012578	0
203.00	0.10000	2.3733	0.42135	63.105	105.24	3.6749	0.31279	0.52351	265.19	7.2245	1.6166e-05	0.012634	0
204.00	0.10000	2.3616	0.42344	63.419	105.76	3.6775	0.31278	0.52347	265.85	7.1644	1.6238e-05	0.012690	0
205.00	0.10000	2.3500	0.42554	63.733	106.29	3.6800	0.31277	0.52343	266.50	7.1049	1.6310e-05	0.012745	0
206.00	0.10000	2.3385	0.42763	64.047	106.81	3.6826	0.31276	0.52339	267.16	7.0462	1.6381e-05	0.012801	0
207.00	0.10000	2.3271	0.42972	64.361	107.33	3.6851	0.31276	0.52336	267.81	6.9883	1.6452e-05	0.012857	0
208.00	0.10000	2.3158	0.43182	64.675	107.86	3.6876	0.31275	0.52332	268.46	6.9311	1.6523e-05	0.012912	0
209.00	0.10000	2.3046	0.43391	64.989	108.38	3.6901	0.31274	0.52328	269.11	6.8745	1.6595e-05	0.012968	0
210.00	0.10000	2.2936	0.43600	65.303	108.90	3.6926	0.31273	0.52324	269.76	6.8187	1.6666e-05	0.013023	0
211.00	0.10000	2.2826	0.43810	65.617	109.43	3.6951	0.31272	0.52321	270.41	6.7636	1.6736e-05	0.013079	0
212.00	0.10000	2.2717	0.44019	65.930	109.95	3.6976	0.31271	0.52317	271.05	6.7091	1.6807e-05	0.013134	0
213.00	0.10000	2.2610	0.44228	66.244	110.47	3.7001	0.31271	0.52314	271.69	6.6553	1.6878e-05	0.013189	0
214.00	0.10000	2.2503	0.44438	66.558	111.00	3.7025	0.31270	0.52310	272.34	6.6022	1.6948e-05	0.013244	0
215.00	0.10000	2.2398	0.44647	66.872	111.52	3.7050	0.31269	0.52307	272.98	6.5496	1.7019e-05	0.013299	0
216.00	0.10000	2.2294	0.44856	67.186	112.04	3.7074	0.31268	0.52304	273.61	6.4977	1.7089e-05	0.013354	0
217.00	0.10000	2.2190	0.45065	67.500	112.56	3.7098	0.31268	0.52301	274.25	6.4465	1.7160e-05	0.013409	0
218.00	0.10000	2.2087	0.45275	67.813	113.09	3.7122	0.31267	0.52297	274.89	6.3958	1.7230e-05	0.013464	0
219.00	0.10000	2.1986	0.45484	68.127	113.61	3.7146	0.31266	0.52294	275.52	6.3457	1.7300e-05	0.013519	0
220.00	0.10000	2.1885	0.45693	68.441	114.13	3.7170	0.31266	0.52291	276.15	6.2962	1.7370e-05	0.013573	0
221.00	0.10000	2.1785	0.45902	68.755	114.66	3.7193	0.31265	0.52288	276.78	6.2473	1.7440e-05	0.013628	0
222.00	0.10000	2.1687	0.46111	69.068	115.18	3.7217	0.31264	0.52285	277.41	6.1989	1.7510e-05	0.013682	0
223.00	0.10000	2.1589	0.46321	69.382	115.70	3.7241	0.31264	0.52282	278.04	6.1511	1.7579e-05	0.013737	0
224.00	0.10000	2.1492	0.46530	69.696	116.23	3.7264	0.31263	0.52280	278.67	6.1038	1.7649e-05	0.013791	0
225.00	0.10000	2.1396	0.46739	70.009	116.75	3.7287	0.31263	0.52277	279.29	6.0571	1.7718e-05	0.013845	0
226.00	0.10000	2.1300	0.46948	70.323	117.27	3.7310	0.31262	0.52274	279.91	6.0109	1.7788e-05	0.013899	0
227.00	0.10000	2.1206	0.47157	70.636	117.79	3.7334	0.31261	0.52271	280.54	5.9652	1.7857e-05	0.013954	0
228.00	0.10000	2.1112	0.47366	70.950	118.32	3.7356	0.31261	0.52269	281.16	5.9200	1.7926e-05	0.014008	0
229.00	0.10000	2.1019	0.47575	71.264	118.84	3.7379	0.31260	0.52266	281.78	5.8753	1.7995e-05	0.014062	0
230.00	0.10000	2.0927	0.47784	71.577	119.36	3.7402	0.31260	0.52264	282.40	5.8311	1.8064e-05	0.014115	0
231.00	0.10000	2.0836	0.47993	71.891	119.88	3.7425	0.31259	0.52261	283.01	5.7874	1.8133e-05	0.014169	0
232.00	0.10000	2.0746	0.48202	72.204	120.41	3.7447	0.31259	0.52259	283.63	5.7442	1.8202e-05	0.014223	0
233.00	0.10000	2.0656	0.48412	72.518	120.93	3.7470	0.31258	0.52256	284.24	5.7014	1.8271e-05	0.014277	0
234.00	0.10000	2.0567	0.48621	72.831	121.45	3.7492	0.31258	0.52254	284.85	5.6591	1.8340e-05	0.014330	0
235.00	0.10000	2.0479	0.48830	73.145	121.97	3.7515	0.31257	0.52251	285.46	5.6173	1.8408e-05	0.014384	0
236.00	0.10000	2.0392	0.49039	73.458	122.50	3.7537	0.31257	0.52249	286.07	5.5759	1.8477e-05	0.014437	0
237.00	0.10000	2.0306	0.49248	73.772	123.02	3.7559	0.31256	0.52247	286.68	5.5350	1.8545e-05	0.014490	0
238.00	0.10000	2.0220	0.49457	74.085	123.54	3.7581	0.31256	0.52244	287.29	5.4944	1.8613e-05	0.014544	0
239.00	0.10000	2.0135	0.49666	74.399	124.06	3.7603	0.31255	0.52242	287.90	5.4543	1.8681e-05	0.014597	0
240.00	0.10000	2.0050	0.49875	74.712	124.59	3.7625	0.31255	0.52240	288.50	5.4147	1.8749e-05	0.014650	0
241.00	0.10000	1.9967	0.50084	75.025	125.11	3.7646	0.31255	0.52238	289.10	5.3754	1.8817e-05	0.014703	0
242.00	0.10000	1.9884	0.50293	75.339	125.63	3.7668	0.31254	0.52236	289.71	5.3366	1.8885e-05	0.014756	0
243.00	0.10000	1.9801	0.50502	75.652	126.15	3.7689	0.31254	0.52234	290.31	5.2981	1.8953e-05	0.014809	0
244.00	0.10000	1.9720	0.50711	75.965	126.68	3.7711	0.31253	0.52232	290.91	5.2601	1.9021e-05	0.014862	0
245.00	0.10000	1.9639	0.50920	76.279	127.20	3.7732	0.31253	0.52229	291.50	5.2224	1.9088e-05	0.014915	0
246.00	0.10000	1.9559	0.51128	76.592	127.72	3.7753	0.31252	0.52227	292.10	5.1851	1.9156e-05	0.014967	0
247.00	0.10000	1.9479	0.51337	76.906	128.24	3.7775	0.31252	0.52225	292.70	5.1482	1.9223e-05	0.015020	0
248.00	0.10000	1.9400	0.51546	77.219	128.77	3.7796	0.31252	0.52224	293.29	5.1117	1.9291e-05	0.015073	0
249.00	0.10000	1.9322	0.51755	77.532	129.29	3.7817	0.31251	0.52222	293.88	5.0755	1.9358e-05	0.015125	0
250.00	0.10000	1.9244	0.51964	77.845	129.81	3.7838	0.31251	0.52220	294.48	5.0397	1.9425e-05	0.015178	0
251.00	0.10000	1.9167	0.52173	78.159	130.33	3.7859	0.31251	0.52218	295.07	5.0043	1.9492e-05	0.015230	0
252.00	0.10000	1.9091	0.52382	78.472	130.85	3.7879	0.31250	0.52216	295.66	4.9692	1.9559e-05	0.015282	0
253.00	0.10000	1.9015	0.52591	78.785	131.38	3.7900	0.31250	0.52214	296.24	4.9344	1.9626e-05	0.015334	0
